product_name,review_text,rating
Sony WH-1000XM4,Crystal clear sound and very comfortable.,4
Sony WH-1000XM4,Too expensive for the features offered.,2
JBL Flip 5,Battery drains too fast. Not recommended.,1
Mi Smart Band 6,Does not match the description.,2
Samsung Galaxy M13,Very user-friendly and stylish.,4
JBL Flip 5,Excellent build quality and features.,5
iQOO Z6,Crystal clear sound and very comfortable.,4
Noise ColorFit Pro 3,Great value for money. Highly recommended!,5
JBL Flip 5,Totally worth the price!,5
JBL Flip 5,Exceeded my expectations. Very satisfied.,4
Poco X4 Pro,Exceeded my expectations. Very satisfied.,5
boAt Rockerz 255,Excellent build quality and features.,5
Noise ColorFit Pro 3,Customer service was unhelpful.,2
Samsung Galaxy M13,The product arrived damaged.,2
JBL Flip 5,Exceeded my expectations. Very satisfied.,5
Redmi Note 11,Totally worth the price!,5
Noise ColorFit Pro 3,Exceeded my expectations. Very satisfied.,4
boAt Rockerz 255,Very user-friendly and stylish.,5
Samsung Galaxy M13,Battery drains too fast. Not recommended.,1
Sony WH-1000XM4,Excellent build quality and features.,5
boAt Rockerz 255,Absolutely love this product! Works like a charm.,4
Noise ColorFit Pro 3,Not worth the money. Poor quality.,1
Redmi Note 11,Totally worth the price!,4
Redmi Note 11,The product arrived damaged.,2
Samsung Galaxy M13,Looks good but doesn't work well.,2
Sony WH-1000XM4,Very user-friendly and stylish.,5
Redmi Note 11,Battery drains too fast. Not recommended.,1
Noise ColorFit Pro 3,Does not match the description.,2
iQOO Z6,Crystal clear sound and very comfortable.,4
boAt Rockerz 255,Absolutely love this product! Works like a charm.,5
JBL Flip 5,Performance is sluggish and lags a lot.,1
Redmi Note 11,Customer service was unhelpful.,2
Redmi Note 11,Looks good but doesn't work well.,2
Samsung Galaxy M13,Fantastic quality and fast delivery.,4
Realme Narzo 50,Performance is sluggish and lags a lot.,1
Redmi Note 11,Fantastic quality and fast delivery.,5
Redmi Note 11,Fantastic quality and fast delivery.,4
Realme Narzo 50,Stopped working after a week. Very disappointed.,2
Mi Smart Band 6,Very uncomfortable to use for long periods.,1
Redmi Note 11,Exceeded my expectations. Very satisfied.,4
Redmi Note 11,Fantastic quality and fast delivery.,5
Poco X4 Pro,Performance is sluggish and lags a lot.,1
Poco X4 Pro,The product arrived damaged.,1
Poco X4 Pro,Fantastic quality and fast delivery.,4
Mi Smart Band 6,Totally worth the price!,5
boAt Rockerz 255,Stopped working after a week. Very disappointed.,1
Sony WH-1000XM4,Superb performance and sleek design.,4
iQOO Z6,Too expensive for the features offered.,2
Realme Narzo 50,Totally worth the price!,4
boAt Rockerz 255,Fantastic quality and fast delivery.,5
iQOO Z6,Exceeded my expectations. Very satisfied.,5
Samsung Galaxy M13,Looks good but doesn't work well.,2
Samsung Galaxy M13,Superb performance and sleek design.,4
Realme Narzo 50,Exceeded my expectations. Very satisfied.,5
boAt Rockerz 255,Customer service was unhelpful.,2
JBL Flip 5,Looks good but doesn't work well.,2
Realme Narzo 50,Crystal clear sound and very comfortable.,4
iQOO Z6,Exceeded my expectations. Very satisfied.,4
iQOO Z6,Exceeded my expectations. Very satisfied.,4
Redmi Note 11,Very uncomfortable to use for long periods.,2
JBL Flip 5,"Battery life is amazing, lasts all day.",5
iQOO Z6,Does not match the description.,1
Samsung Galaxy M13,Very uncomfortable to use for long periods.,2
JBL Flip 5,Crystal clear sound and very comfortable.,5
Samsung Galaxy M13,Exceeded my expectations. Very satisfied.,5
Redmi Note 11,Not worth the money. Poor quality.,1
Poco X4 Pro,Fantastic quality and fast delivery.,4
iQOO Z6,Looks good but doesn't work well.,2
Noise ColorFit Pro 3,Not worth the money. Poor quality.,1
Noise ColorFit Pro 3,Very uncomfortable to use for long periods.,1
Realme Narzo 50,Customer service was unhelpful.,2
Realme Narzo 50,Crystal clear sound and very comfortable.,4
Realme Narzo 50,Crystal clear sound and very comfortable.,4
Redmi Note 11,Great value for money. Highly recommended!,4
Sony WH-1000XM4,Totally worth the price!,5
Poco X4 Pro,The product arrived damaged.,1
JBL Flip 5,Battery drains too fast. Not recommended.,2
Noise ColorFit Pro 3,Does not match the description.,1
Mi Smart Band 6,Superb performance and sleek design.,4
Sony WH-1000XM4,Does not match the description.,2
iQOO Z6,Crystal clear sound and very comfortable.,5
Poco X4 Pro,"Battery life is amazing, lasts all day.",4
Samsung Galaxy M13,Totally worth the price!,5
Poco X4 Pro,Absolutely love this product! Works like a charm.,4
Samsung Galaxy M13,Exceeded my expectations. Very satisfied.,4
Noise ColorFit Pro 3,Battery drains too fast. Not recommended.,2
Mi Smart Band 6,Very uncomfortable to use for long periods.,1
Samsung Galaxy M13,"Battery life is amazing, lasts all day.",5
Redmi Note 11,Superb performance and sleek design.,4
Sony WH-1000XM4,Fantastic quality and fast delivery.,5
iQOO Z6,Totally worth the price!,5
Mi Smart Band 6,Fantastic quality and fast delivery.,4
iQOO Z6,Stopped working after a week. Very disappointed.,2
Noise ColorFit Pro 3,Stopped working after a week. Very disappointed.,2
JBL Flip 5,Totally worth the price!,5
Noise ColorFit Pro 3,Performance is sluggish and lags a lot.,2
Realme Narzo 50,Superb performance and sleek design.,4
Samsung Galaxy M13,Excellent build quality and features.,4
Realme Narzo 50,Very uncomfortable to use for long periods.,1
boAt Rockerz 255,Not worth the money. Poor quality.,1
